"trajectory_id","trajectory_value"
"1266",Residence
"1266",Food
"1266",Residence
"1266",Food
"1266",Travel & Transport
"1266",Travel & Transport
"1266",Travel & Transport
"1266",Professional & Other Places
"1266",Residence
"1266",Travel & Transport
"1266",Travel & Transport
"1266",Travel & Transport
"1266",Travel & Transport
"1266",Food
"1266",Travel & Transport
"1266",Residence
"1266",Travel & Transport
"1266",Travel & Transport
"1276",Food
"1276",Travel & Transport
"1276",Travel & Transport
"1276",Travel & Transport
"1276",Residence
"1276",Travel & Transport
"1276",Travel & Transport
"1276",Travel & Transport
"1276",Travel & Transport
"1276",Travel & Transport
"1276",Travel & Transport
"1276",Travel & Transport
"1276",Professional & Other Places
"1276",Travel & Transport
"1276",Food
"1276",Travel & Transport
"1276",Residence
"1276",Travel & Transport
"1276",Shop & Service
"1276",Residence
"1276",Food
"1276",Residence
"1286",Travel & Transport
"1286",Outdoors & Recreation
"1286",Shop & Service
"1286",Travel & Transport
"1286",Travel & Transport
"1286",Travel & Transport
"1286",Outdoors & Recreation
"1286",Travel & Transport
"1286",Residence
"1286",Travel & Transport
"1286",Professional & Other Places
"1286",Travel & Transport
"1286",Residence
"1286",Travel & Transport
"1286",Travel & Transport
"1286",College & University
"1286",Outdoors & Recreation
"1286",Travel & Transport
"1296",Travel & Transport
"1296",Professional & Other Places
"1296",Food
"1296",Travel & Transport
"1296",Travel & Transport
"1296",Outdoors & Recreation
"1296",Food
"1296",Travel & Transport
"1296",Travel & Transport
"1296",Travel & Transport
"1296",Travel & Transport
"1296",Travel & Transport
"1296",Professional & Other Places
"1296",Travel & Transport
"1296",Outdoors & Recreation
"1296",Food
"1296",Travel & Transport
"1296",Residence
"1296",Professional & Other Places
"1296",Travel & Transport
"1296",Food
"1296",Travel & Transport
"1306",Residence
"1306",Travel & Transport
"1306",Travel & Transport
"1306",Travel & Transport
"1306",Travel & Transport
"1306",College & University
"1306",Travel & Transport
"1306",Travel & Transport
"1306",Travel & Transport
"1306",Travel & Transport
"1306",Travel & Transport
"1306",Travel & Transport
"1306",Professional & Other Places
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Outdoors & Recreation
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Shop & Service
"1316",Food
"1316",Residence
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Professional & Other Places
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Travel & Transport
"1316",Shop & Service
"1316",Travel & Transport
"1326",Residence
"1326",Professional & Other Places
"1326",Travel & Transport
"1326",Travel & Transport
"1326",Residence
"1326",Travel & Transport
"1326",Professional & Other Places
"1326",Travel & Transport
"1326",Residence
"1326",Travel & Transport
"1326",Residence
"1336",Residence
"1336",Travel & Transport
"1336",Travel & Transport
"1336",Travel & Transport
"1336",Travel & Transport
"1336",Travel & Transport
"1336",Travel & Transport
"1336",Food
"1336",Residence
"1336",Residence
"1346",Professional & Other Places
"1346",Travel & Transport
"1346",Travel & Transport
"1346",Travel & Transport
"1346",Travel & Transport
"1346",Travel & Transport
"1346",Travel & Transport
"1346",Travel & Transport
"1346",Travel & Transport
"1346",Residence
"1346",Travel & Transport
"1346",Travel & Transport
"1346",Travel & Transport
"1346",Outdoors & Recreation
"1346",Food
"1346",Travel & Transport
"1346",Professional & Other Places
"1346",Travel & Transport
"1346",Travel & Transport
"1346",Outdoors & Recreation
"1346",Food
"1346",Travel & Transport
"1356",Professional & Other Places
"1356",Travel & Transport
"1356",Travel & Transport
"1356",Travel & Transport
"1356",Professional & Other Places
"1356",Travel & Transport
"1356",Travel & Transport
"1356",Travel & Transport
"1356",Travel & Transport
"1356",Travel & Transport
"1356",Travel & Transport
"1356",Travel & Transport
"1356",Residence
"1356",Travel & Transport
"1376",Residence
"1376",Travel & Transport
"1376",Travel & Transport
"1376",Residence
"1376",Professional & Other Places
"1376",Food
"1376",Food
"1376",Travel & Transport
"1376",Travel & Transport
"1376",Travel & Transport
"1376",Residence
"1376",Residence
"1376",Professional & Other Places
"1376",Travel & Transport
"1376",Travel & Transport
"1376",Travel & Transport
"1376",Food
"1376",Travel & Transport
"1376",Travel & Transport
"1386",Residence
"1386",Travel & Transport
"1386",Travel & Transport
"1386",Professional & Other Places
"1386",Travel & Transport
"1386",Travel & Transport
"1386",Food
"1386",Travel & Transport
"1386",Travel & Transport
"1386",Travel & Transport
"1386",Travel & Transport
"1386",Food
"1386",Travel & Transport
"1386",Residence
"1386",Travel & Transport
"1386",Professional & Other Places
"1386",Travel & Transport
"1386",Travel & Transport
"1396",Travel & Transport
"1396",Professional & Other Places
"1396",Travel & Transport
"1396",Travel & Transport
"1396",Professional & Other Places
"1396",Travel & Transport
"1396",Travel & Transport
"1396",Travel & Transport
"1396",Residence
"1396",Food
"1396",Travel & Transport
"1396",Shop & Service
"1396",Travel & Transport
"1396",Travel & Transport
"1396",Food
"1417",Food
"1417",Shop & Service
"1417",Shop & Service
"1417",Shop & Service
"1417",Food
"1417",Food
"1417",Shop & Service
"1417",Food
"1417",Food
"1417",Shop & Service
"1417",Food
"1417",Arts & Entertainment
"1417",Shop & Service
"1417",Food
"1417",Food
"1417",Food
"1417",Shop & Service
"1417",Outdoors & Recreation
"1427",Professional & Other Places
"1427",Outdoors & Recreation
"1427",Food
"1427",Professional & Other Places
"1427",Outdoors & Recreation
"1427",Shop & Service
"1427",Outdoors & Recreation
"1427",Food
"1427",Shop & Service
"1427",Food
"1427",Professional & Other Places
"1427",Shop & Service
"1427",Food
"1427",Arts & Entertainment
"1427",Nightlife Spot
"1427",Professional & Other Places
"1427",Food
"1427",Food
"1427",Nightlife Spot
"1427",Food
"1427",Food
"1427",Shop & Service
"1427",Outdoors & Recreation
"1427",Food
"1427",Food
"1437",Professional & Other Places
"1437",Professional & Other Places
"1437",Food
"1437",Outdoors & Recreation
"1437",Food
"1437",Shop & Service
"1437",Shop & Service
"1437",Professional & Other Places
"1437",Outdoors & Recreation
"1437",Shop & Service
"1437",Food
"1437",Nightlife Spot
"1437",Food
"1447",Food
"1447",Food
"1447",Professional & Other Places
"1447",Shop & Service
"1447",Food
"1447",Outdoors & Recreation
"1447",Food
"1447",Food
"1447",Shop & Service
"1447",Arts & Entertainment
"1447",Nightlife Spot
"1447",Outdoors & Recreation
"1447",Shop & Service
"1447",Food
"1447",Food
"1457",Professional & Other Places
"1457",Shop & Service
"1457",Shop & Service
"1457",Food
"1457",Outdoors & Recreation
"1457",Shop & Service
"1457",Food
"1457",Food
"1457",Food
"1457",Professional & Other Places
"1457",Food
"1457",Food
"1457",Outdoors & Recreation
"1457",Food
"1457",Food
"1457",Food
"1457",Food
"1457",Food
"1457",Nightlife Spot
"1467",Professional & Other Places
"1467",Outdoors & Recreation
"1467",Food
"1467",Food
"1467",Professional & Other Places
"1467",Food
"1467",Shop & Service
"1467",Travel & Transport
"1467",Professional & Other Places
"1467",Food
"1467",Arts & Entertainment
"1467",Food
"1467",Food
"1467",Outdoors & Recreation
"1487",Food
"1487",Food
"1487",Food
"1487",Shop & Service
"1487",Shop & Service
"1487",Professional & Other Places
"1487",Nightlife Spot
"1487",Nightlife Spot
"1487",College & University
"1487",Food
"1487",Arts & Entertainment
"1497",Professional & Other Places
"1497",Outdoors & Recreation
"1497",Professional & Other Places
"1497",Food
"1497",Food
"1497",Food
"1497",Professional & Other Places
"1497",Shop & Service
"1497",Food
"1497",Shop & Service
"1497",Food
"1497",Food
"1497",Outdoors & Recreation
"1527",Food
"1527",Food
"1527",Outdoors & Recreation
"1527",Food
"1527",Outdoors & Recreation
"1527",Arts & Entertainment
"1527",Outdoors & Recreation
"1527",Shop & Service
"1527",Outdoors & Recreation
"1527",Arts & Entertainment
"1527",Food
"1527",Food
"1537",Outdoors & Recreation
"1537",Food
"1537",Food
"1537",Food
"1537",Outdoors & Recreation
"1537",Nightlife Spot
"1537",Food
"1537",Food
"1537",Food
"1537",Arts & Entertainment
"1537",Food
"1707",Food
"1707",Outdoors & Recreation
"1707",Food
"1707",Professional & Other Places
"1707",Food
"1707",Arts & Entertainment
"1707",Professional & Other Places
"1707",Food
"1707",Food
"1707",Shop & Service
"1707",Food
"1707",Food
"1777",Food
"1777",Arts & Entertainment
"1777",Shop & Service
"1777",Food
"1777",Food
"1777",Shop & Service
"1777",Arts & Entertainment
"1777",Food
"1777",Food
"1777",Shop & Service
"28512",Shop & Service
"28512",Food
"28512",Shop & Service
"28512",Shop & Service
"28512",Food
"28512",Shop & Service
"28512",Food
"28512",Food
"28512",Food
"28512",Shop & Service
"28612",Food
"28612",Shop & Service
"28612",Food
"28612",Shop & Service
"28612",Food
"28612",Shop & Service
"28612",Food
"28612",Travel & Transport
"28612",Shop & Service
"28612",Food
"28612",Shop & Service
"28612",Shop & Service
"28612",Food
"28612",Food
"28612",Travel & Transport
"28612",Shop & Service
"28612",Shop & Service
"28612",Food
"28612",Food
"28612",Professional & Other Places
"28612",Shop & Service
"28612",Shop & Service
"28612",Food
"28612",Shop & Service
"28612",Food
"28612",Shop & Service
"28612",Shop & Service
"28712",Food
"28712",Travel & Transport
"28712",Food
"28712",Travel & Transport
"28712",Shop & Service
"28712",Shop & Service
"28712",Travel & Transport
"28712",Shop & Service
"28712",Food
"28712",Travel & Transport
"28712",Shop & Service
"28712",Food
"28712",Travel & Transport
"28712",Food
"28712",Food
"28712",Food
"28712",Shop & Service
"28712",Shop & Service
"28712",Shop & Service
"28712",Shop & Service
"28712",Shop & Service
"28812",Travel & Transport
"28812",Shop & Service
"28812",Travel & Transport
"28812",Shop & Service
"28812",Food
"28812",Shop & Service
"28812",Food
"28812",Shop & Service
"28812",Shop & Service
"28812",Food
"28812",Shop & Service
"28812",Food
"28812",Food
"28812",Food
"28812",Food
"28812",Travel & Transport
"28812",Food
"28812",Food
"28812",Professional & Other Places
"28812",Shop & Service
"28812",Food
"28812",Shop & Service
"28812",Shop & Service
"28812",Food
"28812",Shop & Service
"28812",Shop & Service
"28812",Shop & Service
"28912",Food
"28912",Food
"28912",Travel & Transport
"28912",Shop & Service
"28912",Shop & Service
"28912",Shop & Service
"28912",Shop & Service
"28912",Shop & Service
"28912",Food
"28912",Food
"28912",Shop & Service
"28912",Food
"28912",Travel & Transport
"28912",Arts & Entertainment
"28912",Professional & Other Places
"28912",Shop & Service
"28912",Food
"28912",Shop & Service
"28912",Food
"28912",Shop & Service
"28912",Shop & Service
"29012",Shop & Service
"29012",Food
"29012",Travel & Transport
"29012",Shop & Service
"29012",Shop & Service
"29012",Food
"29012",Food
"29012",Shop & Service
"29012",Food
"29012",Shop & Service
"29012",Travel & Transport
"29012",Travel & Transport
"29012",Food
"29012",Shop & Service
"29012",Food
"29012",Food
"29012",Travel & Transport
"29012",Professional & Other Places
"29012",Food
"29012",Food
"29012",Food
"29012",Shop & Service
"29012",Food
"29012",Shop & Service
"29012",Shop & Service
"29012",Food
"29012",Shop & Service
"29012",Food
"29112",Food
"29112",Shop & Service
"29112",Shop & Service
"29112",Food
"29112",Food
"29112",Travel & Transport
"29112",Shop & Service
"29112",Shop & Service
"29112",Food
"29112",Shop & Service
"29112",Food
"29112",Food
"29112",Travel & Transport
"29112",Shop & Service
"29112",Food
"29112",Food
"29112",Food
"29112",Food
"29112",Travel & Transport
"29112",Food
"29112",Shop & Service
"29212",Food
"29212",Travel & Transport
"29212",Travel & Transport
"29212",Food
"29212",Shop & Service
"29212",Food
"29212",Travel & Transport
"29212",Food
"29212",Shop & Service
"29212",Food
"29212",Shop & Service
"29212",Shop & Service
"29212",Shop & Service
"29312",Shop & Service
"29312",Food
"29312",Food
"29312",Shop & Service
"29312",Shop & Service
"29312",Food
"29312",Shop & Service
"29312",Shop & Service
"29312",Travel & Transport
"29312",Food
"29312",Shop & Service
"29312",Food
"29312",Shop & Service
"29312",Shop & Service
"29312",Food
"29412",Food
"29412",Travel & Transport
"29412",Food
"29412",Food
"29412",Food
"29412",Travel & Transport
"29412",Food
"29412",Food
"29412",Travel & Transport
"29412",Travel & Transport
"29412",Food
"29412",Food
"29412",Food
"29412",Travel & Transport
"29412",Travel & Transport
"29412",Food
"29412",Food
"29412",Shop & Service
"29412",Food
"29412",Shop & Service
"29412",Shop & Service
"29412",Food
"29412",Shop & Service
"29512",Food
"29512",Travel & Transport
"29512",Shop & Service
"29512",Food
"29512",Travel & Transport
"29512",Food
"29512",Travel & Transport
"29512",Shop & Service
"29512",Food
