"trajectory_id","trajectory_value"
"1266",Monday
"1266",Monday
"1266",Tuesday
"1266",Thursday
"1266",Thursday
"1266",Thursday
"1266",Thursday
"1266",Thursday
"1266",Friday
"1266",Friday
"1266",Friday
"1266",Friday
"1266",Friday
"1266",Saturday
"1266",Saturday
"1266",Saturday
"1266",Saturday
"1266",Saturday
"1276",Monday
"1276",Monday
"1276",Monday
"1276",Monday
"1276",Tuesday
"1276",Tuesday
"1276",Tuesday
"1276",Tuesday
"1276",Tuesday
"1276",Thursday
"1276",Thursday
"1276",Thursday
"1276",Thursday
"1276",Thursday
"1276",Thursday
"1276",Thursday
"1276",Friday
"1276",Friday
"1276",Saturday
"1276",Sunday
"1276",Sunday
"1276",Sunday
"1286",Monday
"1286",Monday
"1286",Monday
"1286",Monday
"1286",Monday
"1286",Thursday
"1286",Thursday
"1286",Thursday
"1286",Saturday
"1286",Saturday
"1286",Saturday
"1286",Saturday
"1286",Sunday
"1286",Sunday
"1286",Sunday
"1286",Sunday
"1286",Sunday
"1286",Sunday
"1296",Monday
"1296",Monday
"1296",Monday
"1296",Monday
"1296",Monday
"1296",Tuesday
"1296",Tuesday
"1296",Wednesday
"1296",Wednesday
"1296",Wednesday
"1296",Wednesday
"1296",Wednesday
"1296",Thursday
"1296",Thursday
"1296",Thursday
"1296",Thursday
"1296",Thursday
"1296",Sunday
"1296",Sunday
"1296",Sunday
"1296",Sunday
"1296",Sunday
"1306",Tuesday
"1306",Tuesday
"1306",Tuesday
"1306",Tuesday
"1306",Wednesday
"1306",Thursday
"1306",Friday
"1306",Friday
"1306",Friday
"1306",Sunday
"1306",Sunday
"1306",Sunday
"1306",Sunday
"1316",Monday
"1316",Monday
"1316",Monday
"1316",Monday
"1316",Tuesday
"1316",Tuesday
"1316",Tuesday
"1316",Tuesday
"1316",Tuesday
"1316",Tuesday
"1316",Wednesday
"1316",Wednesday
"1316",Wednesday
"1316",Wednesday
"1316",Wednesday
"1316",Wednesday
"1316",Thursday
"1316",Friday
"1316",Friday
"1316",Friday
"1316",Friday
"1316",Friday
"1316",Friday
"1326",Thursday
"1326",Thursday
"1326",Thursday
"1326",Thursday
"1326",Friday
"1326",Friday
"1326",Friday
"1326",Friday
"1326",Saturday
"1326",Sunday
"1326",Sunday
"1336",Monday
"1336",Monday
"1336",Monday
"1336",Friday
"1336",Friday
"1336",Friday
"1336",Friday
"1336",Saturday
"1336",Saturday
"1336",Sunday
"1346",Monday
"1346",Monday
"1346",Monday
"1346",Monday
"1346",Monday
"1346",Tuesday
"1346",Tuesday
"1346",Wednesday
"1346",Wednesday
"1346",Wednesday
"1346",Wednesday
"1346",Wednesday
"1346",Thursday
"1346",Thursday
"1346",Thursday
"1346",Thursday
"1346",Friday
"1346",Friday
"1346",Saturday
