"trajectory_id","trajectory_value"
"1266",The Lair Of Modern Strange Cowboy
"1266",Galaxy Gourmet Deli
"1266",The Lair Of Modern Strange Cowboy
"1266",Popeyes Louisiana Kitchen
"1266",MTA Bus Operations Depot - LaGuardia
"1266",MTA Subway - 63rd Dr/Rego Park (M/R)
"1266",MTA Subway - 34th St/Herald Sq (B/D/F/M/N/Q/R/W)
"1266",NYCT Transit Survey Unit
"1266",The Lair Of Modern Strange Cowboy
"1266",MTA - Church St & Barclay St (BM1/BM2/BM3/BM4)
"1266","MTA MaBSTOA & Bee-Line Bus at Riverdale Ave & W. 263rd St: (Bx7, Bx10, BxM1, BxM2, BxM18 & BL 8)"
"1266",MTA Subway - 33rd St (6)
"1266",MTA Subway - Hoyt St (2/3)
"1266",Yakitori Sun-Chan
"1266",MTA Subway - 96th St (1/2/3)
"1266",The Lair Of Modern Strange Cowboy
"1266",MTA Subway - 46th St (M/R)
"1266",MTA Subway - Queens Plaza (E/M/R)
"1276",Galaxy Gourmet Deli
"1276",MTA Bus - Beach 169 St & Rockaway Point Bl (Q22/Q35)
"1276",MTA Subway - DeKalb Ave (B/Q/R)
"1276",MTA Subway - Manhattan Bridge (B/D/N/Q)
"1276",The Grinnell
"1276",MTA Subway - Manhattan Bridge (B/D/N/Q)
"1276",MTA Bus Stop - Q25/Q34/Q65
"1276",MTA Subway - Flushing/Main St (7)
"1276",MTA Subway - DeKalb Ave (B/Q/R)
"1276",MTA New York City Bus - W. 178th Street & Ft. Washington Avenue (Bx3/Bx7/Bx11/Bx13/Bx35/Bx36/Bx36LTD/M4/M4LTD/M5/M5LTD/M98LTD/M100)
"1276",George Washington Bridge Bus Station
"1276",Hackensack Bus Terminal
"1276",NJT Market St Garage
"1276",Port Authority Bus Terminal
"1276",Natsumi
"1276",MTA Subway - 125th St (1)
"1276",Broadway/Nightmare Drive
"1276",MTA MaBSTOA Bus - M4 / M5 / Bx6 at 157th Street / Broadway & Riverside Drive
"1276",La Stella Cleaners
"1276",Broadway/Nightmare Drive
"1276",Twin Donut
"1276",The Lair Of Modern Strange Cowboy
"1286",MTA Subway - Howard Beach/JFK Airport (A)
"1286",MTA Bus - Q53
"1286",Queens Center Mall
"1286",MTA Bus - Q11/Q21/Q29/Q52LTD/Q53LTD/Q59/Q60 - Queens Blvd & 59th Av
"1286","MTABus Q19, Q49 (Astoria Blvd/94th St)"
"1286",Port Authority Bus Terminal
"1286",Times Square
"1286",MTA Subway - 125th St (1)
"1286",The Grinnell
"1286",MTA Subway - 155th St (C)
"1286",NYCT Transit Survey Unit
"1286",MTA Bus - E 161 St & River Av (Bx6/Bx13)
"1286",The Lair Of Modern Strange Cowboy
"1286",MTA Subway - Manhattan Bridge (B/D/N/Q)
"1286",MTA Subway - Jay St/MetroTech (A/C/F/R)
"1286",NYU Law | Vanderbilt Hall
"1286",Bronx-Whitestone Bridge
"1286",MTA Subway - Dyckman St (1)
"1296",MTA Subway - 137th St/City College (1)
"1296",NYCT Transit Survey Unit
"1296",Five Guys
"1296",MTA Bus - Fulton Mall & Flatbush Av Ext (B25/B26/B38/B38LTD/B52)
"1296",MTA Regional Bus Depot - Spring Creek
"1296",Cadman Plaza West
"1296",McDonald's
"1296",MTA Subway - Manhattan Bridge (B/D/N/Q)
"1296","MTA M60, Q19 (Astoria Blvd/31st St)"
"1296",MTA Bus Operations Depot - LaGuardia
"1296",MTA Regional Bus Depot - 126th Street
"1296",MTA Subway - Hoyt St (2/3)
"1296",NYCT Transit Survey Unit
"1296",MTA Subway - DeKalb Ave (B/Q/R)
"1296",Cadman Plaza West
"1296",McDonald's
"1296",MTA Bus Stop M5 M7 X1 X7 X9 BxM2
"1296",The Lair Of Modern Strange Cowboy
"1296",NYCT Transit Survey Unit
"1296",MTA Bus Stop - Q10/Q37/Q60
"1296",Fulton Hot Dog King
"1296",MTA Bus Stop - 116th & Broadway (M4/M60/M104)
"1306",The Lair Of Modern Strange Cowboy
"1306","Q7, Q8"
