"tid","user_id","poi_name"
126,6,The Lair Of Modern Strange Cowboy
126,6,Galaxy Gourmet Deli
126,6,The Lair Of Modern Strange Cowboy
126,6,Popeyes Louisiana Kitchen
126,6,MTA Bus Operations Depot - LaGuardia
126,6,MTA Subway - 63rd Dr/Rego Park (M/R)
126,6,MTA Subway - 34th St/Herald Sq (B/D/F/M/N/Q/R/W)
126,6,NYCT Transit Survey Unit
126,6,The Lair Of Modern Strange Cowboy
126,6,MTA - Church St & Barclay St (BM1/BM2/BM3/BM4)
126,6,"MTA MaBSTOA & Bee-Line Bus at Riverdale Ave & W. 263rd St: (Bx7, Bx10, BxM1, BxM2, BxM18 & BL 8)"
126,6,MTA Subway - 33rd St (6)
126,6,MTA Subway - Hoyt St (2/3)
126,6,Yakitori Sun-Chan
126,6,MTA Subway - 96th St (1/2/3)
126,6,The Lair Of Modern Strange Cowboy
126,6,MTA Subway - 46th St (M/R)
126,6,MTA Subway - Queens Plaza (E/M/R)
127,6,Galaxy Gourmet Deli
127,6,MTA Bus - Beach 169 St & Rockaway Point Bl (Q22/Q35)
127,6,MTA Subway - DeKalb Ave (B/Q/R)
127,6,MTA Subway - Manhattan Bridge (B/D/N/Q)
127,6,The Grinnell
127,6,MTA Subway - Manhattan Bridge (B/D/N/Q)
127,6,MTA Bus Stop - Q25/Q34/Q65
127,6,MTA Subway - Flushing/Main St (7)
127,6,MTA Subway - DeKalb Ave (B/Q/R)
127,6,MTA New York City Bus - W. 178th Street & Ft. Washington Avenue (Bx3/Bx7/Bx11/Bx13/Bx35/Bx36/Bx36LTD/M4/M4LTD/M5/M5LTD/M98LTD/M100)
127,6,George Washington Bridge Bus Station
127,6,Hackensack Bus Terminal
127,6,NJT Market St Garage
127,6,Port Authority Bus Terminal
127,6,Natsumi
127,6,MTA Subway - 125th St (1)
127,6,Broadway/Nightmare Drive
127,6,MTA MaBSTOA Bus - M4 / M5 / Bx6 at 157th Street / Broadway & Riverside Drive
127,6,La Stella Cleaners
127,6,Broadway/Nightmare Drive
127,6,Twin Donut
127,6,The Lair Of Modern Strange Cowboy
128,6,MTA Subway - Howard Beach/JFK Airport (A)
128,6,MTA Bus - Q53
128,6,Queens Center Mall
128,6,MTA Bus - Q11/Q21/Q29/Q52LTD/Q53LTD/Q59/Q60 - Queens Blvd & 59th Av
128,6,"MTABus Q19, Q49 (Astoria Blvd/94th St)"
128,6,Port Authority Bus Terminal
128,6,Times Square
128,6,MTA Subway - 125th St (1)
128,6,The Grinnell
128,6,MTA Subway - 155th St (C)
128,6,NYCT Transit Survey Unit
128,6,MTA Bus - E 161 St & River Av (Bx6/Bx13)
128,6,The Lair Of Modern Strange Cowboy
128,6,MTA Subway - Manhattan Bridge (B/D/N/Q)
128,6,MTA Subway - Jay St/MetroTech (A/C/F/R)
128,6,NYU Law | Vanderbilt Hall
128,6,Bronx-Whitestone Bridge
128,6,MTA Subway - Dyckman St (1)
129,6,MTA Subway - 137th St/City College (1)
129,6,NYCT Transit Survey Unit
129,6,Five Guys
129,6,MTA Bus - Fulton Mall & Flatbush Av Ext (B25/B26/B38/B38LTD/B52)
129,6,MTA Regional Bus Depot - Spring Creek
129,6,Cadman Plaza West
129,6,McDonald's
129,6,MTA Subway - Manhattan Bridge (B/D/N/Q)
129,6,"MTA M60, Q19 (Astoria Blvd/31st St)"
129,6,MTA Bus Operations Depot - LaGuardia
129,6,MTA Regional Bus Depot - 126th Street
129,6,MTA Subway - Hoyt St (2/3)
129,6,NYCT Transit Survey Unit
129,6,MTA Subway - DeKalb Ave (B/Q/R)
129,6,Cadman Plaza West
129,6,McDonald's
129,6,MTA Bus Stop M5 M7 X1 X7 X9 BxM2
129,6,The Lair Of Modern Strange Cowboy
129,6,NYCT Transit Survey Unit
129,6,MTA Bus Stop - Q10/Q37/Q60
129,6,Fulton Hot Dog King
129,6,MTA Bus Stop - 116th & Broadway (M4/M60/M104)
130,6,The Lair Of Modern Strange Cowboy
130,6,"Q7, Q8"
